"Zeitstempel","In welcher Branche kommt das im Review betrachtete Softwaresystem zum Einsatz?","Wie lange ist die Software schon in Produktion?","Welche LASR-Schritte habt ihr bei eurer Anwendung durchgeführt?","Wie viele Personen waren in der Durchführung des Reviews direkt involviert?","Wie viel Zeit hat das Review in Anspruch genommen","Wie viele Risiken habt ihr im Rahmen der LASR-Schritte 3 und ggf. 4 identifiziert?","Haben du und dein Team Ergebnisse aus dem Review nachher weiterverwendet?","Wie habt ihr die Ergebnisse aus dem Review nachher weiterverwendet?"
"2025/11/19 7:59:02 AM MEZ","Industrie","2 - 5 Jahre","Schritte 1 - 4, danach noch LASR+","8","1 -  2 Tage","15 - 20","Ja","Vor allem für politische Kommunikation und Priorisierungen "
"2025/11/19 8:49:14 AM MEZ","Handel / E-Commerce","5 - 10 Jahre","Schritte 1 - 3","3","3 - 4 Stunden","1 - 5","Ja","Wir haben Risiken in unser Arc42 Canvas eingetragen, Maßnahmen beschlossen, diese in JIRA-Issues gegossen und abgearbeitet. "
"2025/11/19 8:55:49 AM MEZ","Marketing, Grafikdesign","2 - 5 Jahre","Nur Schritt 1","3","1 Stunde oder weniger","","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/19 9:08:47 AM MEZ","Automotive","5 - 10 Jahre","Schritte 1 - 4","8","5 - 6 Stunden","11 - 15","Ja","Arbeitsgruppen für einzelne identifizierte (wichtige) Themen, dann auch Themen angegangen. In Iterationen die Lösung neu bewertet. "
"2025/11/19 9:17:22 AM MEZ","Industrie","","Nur Schritt 1","1","bis zu einem Tag","1 - 5","Ja","Reporterstellung und Ableiten von Korrektivmassnahmen"
"2025/11/19 9:27:42 AM MEZ","Energie und Versorgung","5 - 10 Jahre","Schritte 1 - 4","8","5 - 6 Stunden","6 - 10","Nein",""
"2025/11/19 9:38:31 AM MEZ","Ehealth","6 Monate - 2 Jahre","Schritte 1 - 3, aber 4 demnächst angdeacht","4","2 Stunden","6 - 10","Ja","Als neue Stories erfasst und eingeplant"
"2025/11/19 10:19:02 AM MEZ","NGO","Noch gar nicht","Schritt 2","4","2 Stunden","Gar keine","Ja","Wir haben kein klassisches Softwarereview gemacht. Es ging um die Auswahl eines Softwareprodukts von Markt. In dem Workshop haben wir unsere Qualitätsanforderungen mithilfe der Methode Top 5 (+ finden von Qualitätsaussagen) an das auszuwählende Produkt bestimmt. Dieses Ergebnis haben wir dann zusätzlich zu den den funktionalen Anforderungen bei dem Vergleich und der Auswahl des Produktes herangezogen. "
"2025/11/19 10:21:50 AM MEZ","Industrie","Noch gar nicht","Schritte 1 - 4","7","1 -  2 Tage","11 - 15","Aus Zeitmangel wurden die Ergebnisse noch nicht nachgehalten.","Dokumentation als Risiken und ""Enabler""-Issues, um die Lösung der Probleme einzuplanen."
"2025/11/19 10:25:30 AM MEZ","Finanz- und Versicherungswesen","","Bislang hat sich die Firma gegen die Erprobung eines solchen Vorgehens entschieden, ich konnte mich bislang nicht durchsetzen, der Chef-Architekt hielt es für nicht wichtig genug, die Qualität der Software zu hinterfragen... :-(","","","","",""
"2025/11/19 10:33:44 AM MEZ","Energie und Versorgung","Noch gar nicht","Schritte 1 - 3","1","3 - 4 Stunden","1 - 5","Ja","Ich habe die Qualitäts- und Risikokarten hauptsächlich zu Beginn des Projekts mit den Fachbereichen verwendet. Die Risiken wurden in der Regel auf Confluence-Seiten zentralisiert und im Laufe der Entwicklungs- oder Bereitstellungsphasen der Lösung überprüft."
"2025/11/19 10:56:17 AM MEZ","Energie und Versorgung","2 - 5 Jahre","Nur Schritt 1","3","2 Stunden","1 - 5","Ja",""
"2025/11/19 11:08:44 AM MEZ","Industrie","2 - 5 Jahre","Schritte 1 - 4, danach noch LASR+","8","3 - 4 Stunden","1 - 5","Ja","WIKI, Jira follow-up Tickets"
"2025/11/19 11:18:20 AM MEZ","Handel / E-Commerce","2 - 5 Jahre","Schritte 1 - 3, aber 4 demnächst angdeacht","8","2 Stunden","11 - 15","Ja","Begonnen im Meeting mit Aussagen wie: ""Ist doch klar, muss schnell gehen und sicher sein. Kein Ausfall, 0 Datenverlust... wie das Altsystem"".
Mit den aufgedeckten Schwachstellen haben (bzw. sind wir dabei) wir eine umfassende Neubewertung der bisherigen Annahmen, was die Software leisten können muss, angestoßen. Leider erst nach 3 Jahren Entwicklungsarbeit (Migrationsprojekt) und viel Vertrauensverlust. 
Bisher war ""nur den Stakeholdern klar"", was zB die Lastzahlen sein sollen, aber sie wurden nie so kommuniziert wie es bzgl. Qualitäten notwendig gewesen wäre. 
Auch die TOP5 waren eine wertvolle Erkenntnis für die Prio der kommenden Aufgaben (und haben für reichlich Diskussion gesorgt)

War es ein ""schönes"" Meeting? Nein, aber wertvoll für das Projekt."
"2025/11/19 1:34:39 PM MEZ","Finanz- und Versicherungswesen","2 - 5 Jahre","Schritte 1 - 3, aber 4 demnächst angdeacht","6","5 - 6 Stunden","1 - 5","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/19 1:58:17 PM MEZ","Handel / E-Commerce","2 - 5 Jahre","Schritte 1 - 3","3","3 - 4 Stunden","11 - 15","Ja","Insb. für Dokumentation (Arc42), also Qualitätskriterien und Risiken"
"2025/11/19 2:22:22 PM MEZ","Automobilindustrie","2 - 5 Jahre","Schritte 1 - 3","5","3 - 4 Stunden","6 - 10","Ja","Maßnahmen und Verbesserungspotenziale identifiziert und umgesetzt"
"2025/11/19 2:29:05 PM MEZ","Transport und Logistik","0 - 6 Monate","Schritt 1 - 3, 4 leicht angepasst und nicht im Workshop","7","1 -  2 Tage","11 - 15","Wir beabsichtigen das, aber das Review läuft noch","Awareness schaffen bei Stakeholdern, Abgleich der Risiken mit Qualitätszielen, Zur Nachschärfung der NfA"
"2025/11/19 2:36:54 PM MEZ","Finanz- und Versicherungswesen","Noch gar nicht","Schritte 1 - 3","6","bis zu einem Tag","6 - 10","Ja","- Überführung in Arc42 Docu; 
- Gegenmaßnahmen zu Risiken erarbeitet"
"2025/11/19 2:54:45 PM MEZ","Öffentlicher Sektor","Noch gar nicht","Schritte 1 - 4","6","3 - 4 Stunden","6 - 10","",""
"2025/11/19 3:27:09 PM MEZ","Consumer","Noch gar nicht","Schritte 1 - 2","8","2 Stunden","Gar keine","Ja","Produktkarton erstellt"
"2025/11/19 4:37:04 PM MEZ","Finanz- und Versicherungswesen","6 Monate - 2 Jahre","Schritte 1 - 3","5","bis zu einem Tag","6 - 10","Ja",""
"2025/11/19 5:51:28 PM MEZ","Industrie","10 - 20 Jahre","Schritte 1 - 4","7","3 - 4 Stunden","1 - 5","Ja",""
"2025/11/19 6:28:14 PM MEZ","Maschinenbau","2 - 5 Jahre","Schritte 1 - 4","4","3 - 4 Stunden","1 - 5","Ja","Teilweise wurden Risiken an das Management weitergeleitet. Ändern der Priorisierung, Anpassen der Entwicklerresourcen."
"2025/11/19 9:29:42 PM MEZ","Finanz- und Versicherungswesen","2 - 5 Jahre","Schritte 1 - 3","8","1 -  2 Tage","1 - 5","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/19 11:21:52 PM MEZ","Handel / E-Commerce","6 Monate - 2 Jahre","2-3","4","2 Stunden","1 - 5","Ja","2 der 3 Risiken flossen in den Scope der Weiterentwicklung rein (Risiken minimieren). 3. Risiko wurde durch Management akzeptiert."
"2025/11/20 6:44:28 AM MEZ","Automotive","10 - 20 Jahre","Schritte 1 - 2","8","2 Stunden","Gar keine","Ja","Wir verwenden die Qualitätskarten derzeit, um per TOP5 Challenger die Qualitätsziele einer neuen Zielarchitektur zu bestimmen."
"2025/11/20 6:49:32 AM MEZ","IT","2 - 5 Jahre","Schritte 1 - 4","2","1 -  2 Tage","11 - 15","Ja",""
"2025/11/20 7:04:54 AM MEZ","Industrie","6 Monate - 2 Jahre","Schritte 1 - 3","6","1 Stunde oder weniger","6 - 10","Ja",""
"2025/11/20 7:05:26 AM MEZ","Handel / E-Commerce","Noch gar nicht","Schritte 1 - 2","5","2 Stunden","","Ja","Es sei nochmal gesagt, dass es hier um eine komplette Neuentwicklung ging, aber mir speziell der Top 5 Challenger sehr geholfen hat, die Prioritäten des Kunden einzuschätzen. Basierend auf den Ergebnissen des Top 5 Challengers konnte ich gezielte Lösungsvorschläge (in Form von ADRs) für die zu entwickelnde Software vorbereiten. Dem Kunden war z.B. Portabilität sehr wichtig, was zur Folge hatte, dass ich in meinen ADRs im konkreten Fall AWS Lambda Funktionen gar nicht erst als Option angegeben habe, sondern nur docker basierte Varianten (ECS, EKS). "
"2025/11/20 7:25:55 AM MEZ","Energie und Versorgung","2 - 5 Jahre","Schritte 1 - 3, aber 4 demnächst angdeacht","8","5 - 6 Stunden","15 - 20","Ja","Erarbeiten von Maßnahmen zur Verbesserung, Roadmap"
"2025/11/20 8:13:18 AM MEZ","Generische IoT Platform die für unterschiedlichste Kundenanforderungen genügen soll","5 - 10 Jahre","Schritte 1 - 3","7","3 - 4 Stunden","6 - 10","Siehe unten","Ergebnisse deckten sich mit dem Bauchgefühl vom Team. Daher wurden aus den Ergebnissen noch keine konkreten Handlungsschritte abgeleitet. Die Ergebnisse wurden eher genutzt den Fokus während der Entwicklung zu schärfen und geplante Features neu zu bewerten und ggf. anzupassen im Scope in der Zeit oder sonstiges."
"2025/11/20 8:23:37 AM MEZ","Industrie","5 - 10 Jahre","1, 3","1","2 Stunden","1 - 5","offizielles Review steht noch aus",""
"2025/11/20 8:33:37 AM MEZ","Finanz- und Versicherungswesen","6 Monate - 2 Jahre","Demnächst Schritte 1-3","4","3 - 4 Stunden","","","ich bin noch in Planung"
"2025/11/20 8:48:05 AM MEZ","Öffentlicher Sektor","2 - 5 Jahre","Schritte 1 - 4","8","5 - 6 Stunden","1 - 5","Ja",""
"2025/11/20 8:52:30 AM MEZ","Veranstaltungstechnik / Pro-Audio","Noch gar nicht","Schritte 1 - 4, danach noch LASR+","8","bis zu einem Tag","21 und mehr","Ja","- Das Nachschärfen der am höchsten bewerteten Risiken hat gezeigt, dass in Wirklichkeit die Risiken deutlich geringer sind und vorallem durch das alte Legacysystem historisch mit Angst behaftet sind.
- Wir haben die Lösungsansätze aus den LASR+ Phasen als Vorraussetzung bzw. Baseline für die Entwicklung der neuen Softwarelösung herangezogen."
"2025/11/20 8:53:16 AM MEZ","Gesundheitswesen","Länger als 20 Jahre","Schritte 1 - 3","8","1 -  2 Tage","11 - 15","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/20 10:13:36 AM MEZ","Öffentlicher Sektor","10 - 20 Jahre","Schritte 1 - 3","6","3 - 4 Stunden","6 - 10","Nein","Das Management war nicht überzeugt, dass es Verbesserungen bringt."
"2025/11/20 10:19:44 AM MEZ","Öffentlicher Sektor","6 Monate - 2 Jahre","Schritte 1 - 3","6","3 - 4 Stunden","6 - 10","Weiß ich nicht","Ich habe als Externer das Review moderiert und dem Team die Ergebnisse überlassen"
"2025/11/20 10:38:02 AM MEZ","Handel / E-Commerce","6 Monate - 2 Jahre","Schritte 1 - 3","6","5 - 6 Stunden","1 - 5","Ja","Wir haben ein paar Maßnahmen abgeleitet und nächste Schritte bestimmt. Manche Risiken wurden bereits bekannt, und Review hat diese noch verdeutlicht."
"2025/11/20 1:05:32 PM MEZ","Hochschule (Lehre)","Noch gar nicht","Schritte 1 - 4","4","1 Stunde oder weniger","6 - 10","Es war nur ein fiktives Beispiel","Nein, da Lehre - es wäre super, hier konkrete Fallbeispiele zu haben. :-)"
"2025/11/20 1:55:19 PM MEZ","Finanz- und Versicherungswesen","Noch gar nicht","Schritte 1 - 2","2","2 Stunden","Gar keine","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/20 10:33:42 PM MEZ","Industrie","Noch gar nicht","Schritte 1 - 2","6","1 Stunde oder weniger","","Ja",""
"2025/11/21 8:41:10 AM MEZ","Handel / E-Commerce","10 - 20 Jahre","Schritte 1 - 2","5","5 - 6 Stunden","","Ja","Als Basis für die Arc42 Dokumentation"
"2025/11/21 9:24:52 AM MEZ","Finanz- und Versicherungswesen","5 - 10 Jahre","Schritte 1 - 3","4","1 -  2 Tage","11 - 15","Ja","Verbesserung des Entwicklungsprozesses, Modernisierung der Architektur"
"2025/11/21 11:01:19 AM MEZ","Finanz- und Versicherungswesen","5 - 10 Jahre","Schritte 1 - 4","5","1 -  2 Tage","11 - 15","Ja","Verschiedene Reviews: Kunden hatten jeweils konkteten Entscheidungsbedarf - den wir mehr als nur decken konnten :)"
"2025/11/21 11:06:24 AM MEZ","Loyalty","6 Monate - 2 Jahre","Schritte 1 - 3, aber 4 demnächst angdeacht","5","3 - 4 Stunden","1 - 5","Ja",""
"2025/11/21 11:38:11 AM MEZ","Finanz- und Versicherungswesen","10 - 20 Jahre","Schritte 1 - 2","5","2 Stunden","","Ja","Wir haben nicht wirklich ein Review gemacht sondern mit der Top5 Challenger Methode passende Qualitätsmerkmale erarbeitet aus denen wir dann für uns passende Qualitätsziele und -Szenarien entwickelt haben."
"2025/11/21 2:02:44 PM MEZ","Finanz- und Versicherungswesen","2 - 5 Jahre","2-4","6","3 - 4 Stunden","1 - 5","Ja",""
"2025/11/23 9:14:53 PM MEZ","Finanz- und Versicherungswesen","0 - 6 Monate","Schritte 1 - 3, aber 4 demnächst angdeacht","7","5 - 6 Stunden","1 - 5","Ja","Aus den Ergebnissen wurde eine Applikation identifiziert die auf Grund ihren Anhängigkeiten näher beleuchtet wird."
"2025/11/24 10:59:44 AM MEZ","Handel / E-Commerce","6 Monate - 2 Jahre","Schritte 1 - 3","5","bis zu einem Tag","1 - 5","Wir beabsichtigen das, aber das Review läuft noch",""
"2025/11/24 5:27:24 PM MEZ","Finanz- und Versicherungswesen","2 - 5 Jahre","Schritte 1 - 4","3","5 - 6 Stunden","1 - 5","Ja","Wir konnten die konkreten Risiken verwenden um unsere Führungskraft technisch abzuholen. Anhand der gewonnenen Daten und Fakten fällt es uns wesentlich einfacher die Ergebnisse zu kommunizieren."